"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"246","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"247","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","Never","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less"
"248","A couple times a year or less","A couple times a year or less","A couple times a week","Never","A couple times a month","A couple times a week","Never","Never","A couple times a year or less"
"249","A couple times a month","Never","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","Never","Never"
"250","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week"
"251","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month"
"252","Every day or almost every day","A couple times a year or less","Every day or almost every day","A couple times a month","Never","A couple times a week","A couple times a month","Never","A couple times a month"
"253","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"254","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","Never","Every day or almost every day","A couple times a year or less","Never","A couple times a year or less"
"255","A couple times a month","Never","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a month"
"256","Never","Never","A couple times a week","Never","A couple times a week","A couple times a month","Never","Never","Never"
"257","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"258","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","Never","Never","A couple times a year or less","Never","A couple times a year or less"
"259","Never","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less"
"260","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month"
"261","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"262","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","Never","Never","Every day or almost every day","A couple times a month","A couple times a year or less"
"263","A couple times a year or less","A couple times a year or less","A couple times a week","Never","A couple times a week","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month"
"264","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"265","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","Never","A couple times a month","Never","Every day or almost every day","Never"
"266","A couple times a week","A couple times a month","A couple times a year or less","Never","Never","Never","Never","Never","Never"
"267","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","Never","Every day or almost every day","A couple times a month","A couple times a month","Never"
"268","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a month","Never","A couple times a year or less"
"269","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a year or less","Never"
"270","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"271","Every day or almost every day","A couple times a year or less","Every day or almost every day","Never","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"272","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"273","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","Never","Never"
"274","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","Never","Never","Never","Never","Never"
"275","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a year or less","A couple times a year or less","Never"
"276","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month"
"277","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","Never","Never","Never","A couple times a year or less","Never"
"278","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"279","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a month","Never","Every day or almost every day","A couple times a month","Never","Never"
"280","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week"
"281","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"282","A couple times a month","A couple times a year or less","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"283","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week"
"284","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","A couple times a year or less"
"285","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month"
"286","A couple times a month","Never","Never","A couple times a month","A couple times a month","A couple times a month","Never","Never","A couple times a month"
"287","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","Never","Never","A couple times a month"
